SID,Year,ASJC,Description,SJR,Quartile,Percentile
12305,2023,1708,Hardware and Architecture,1.201,1,82
12305,2023,1710,Information Systems,1.201,1,81
12305,2023,1712,Software,1.201,1,80
12306,2023,2211,Mechanics of Materials,0.188,4,14
12306,2023,2505,Materials Chemistry,0.188,4,18
12306,2023,2506,Metals and Alloys,0.188,4,23
12306,2023,3104,Condensed Matter Physics,0.188,4,11
12307,2023,1909,Geotechnical Engineering and Engineering Geology,0.558,2,65
12307,2023,2210,Mechanical Engineering,0.558,2,66
12307,2023,2211,Mechanics of Materials,0.558,2,63
12307,2023,2506,Metals and Alloys,0.558,1,76
12308,2023,3301,Social Sciences (miscellaneous),0.676,1,80
12308,2023,3304,Education,0.676,2,73
12308,2023,3323,Social Work,0.676,2,62
12309,2023,2709,Drug Guides,0.401,1,90
12309,2023,3301,Social Sciences (miscellaneous),0.401,2,64
12309,2023,3306,Health (social science),0.401,3,49
12309,2023,3323,Social Work,0.401,3,28
12310,2023,3101,Physics and Astronomy (miscellaneous),0.303,3,42
12311,2023,3101,Physics and Astronomy (miscellaneous),0.362,3,48
12313,2023,2208,Electrical and Electronic Engineering,0.467,2,55
12313,2023,2504,"Electronic, Optical and Magnetic Materials",0.467,2,52
12313,2023,3107,"Atomic and Molecular Physics, and Optics",0.467,2,52
12316,2023,2201,Engineering (miscellaneous),0.331,2,52
